bgc_id,organism,biosynth_class,novelty_hashed,novelty_esm,novelty_combined
BGC0002977,Bacillus  subtilis  fmb60,hybrid,1.0,0.7732447817836812,1.0
BGC0000103,Mycobacterium ulcerans Agy99,PKS,0.9996204933586338,0.9444022770398481,0.9996204933586338
BGC0002124,Actinomadura verrucosospora NRRL:B18236,PKS,0.9992409867172676,0.16963946869070207,0.9992409867172676
BGC0000315,Streptomyces coelicolor A3(2),NRPS,0.9988614800759014,0.16394686907020872,0.9988614800759014
BGC0002689,Stenotrophomonas maltophilia K279a,NRPS,0.9975332068311196,0.5924098671726755,0.998292220113852
BGC0000423,Streptomyces scabiei 87.22,NRPS,0.9975332068311196,0.4,0.9979127134724858
BGC0002367,Streptomyces scabiei 87.22,NRPS,0.9979127134724857,0.3193548387096774,0.9977229601518026
BGC0002808,Streptomyces scabiei 87.22,PKS,0.9984819734345352,0.23092979127134725,0.9977229601518026
BGC0000038,Streptomyces coelicolor A3(2),PKS,0.9971537001897532,0.1316888045540797,0.9969639468690702
BGC0000324,Streptomyces coelicolor A3(2),NRPS,0.9962049335863378,0.5261859582542694,0.9963946869070208
BGC0002704,Halorussus salinus,RiPP,0.2709677419354839,1.0,0.9963946869070208
BGC0002569,Burkholderia cenocepacia J2315,NRPS,0.9958254269449716,0.43776091081593926,0.9952561669829222
BGC0002750,Streptomyces sp. CLI2509,RiPP,0.12580645161290321,0.9996204933586338,0.9946869070208728
BGC0002587,Streptomyces ossamyceticus,PKS,0.996584440227704,0.07703984819734346,0.9946869070208728
BGC0002978,Streptomyces sp SNJ018,NRPS,0.9935483870967743,0.12903225806451613,0.9937381404174573
BGC0002703,Halorussus salinus,RiPP,0.34648956356736244,0.9992409867172676,0.9937381404174572
BGC0001311,Ruminococcus flavefaciens FD-1,RiPP,0.9916508538899431,0.9540796963946869,0.9937381404174572
BGC0000325,Streptomyces coelicolor A3(2),NRPS,0.994876660341556,0.3582542694497154,0.9935483870967742
BGC0002868,Streptomyces sp PC5,NRPS,0.993168880455408,0.07514231499051233,0.9935483870967742
BGC0002850,Streptomyces  PC5,NRPS,0.9933586337760911,0.07552182163187855,0.993168880455408
BGC0002701,Paenibacillus thiaminolyticus,RiPP,0.9880455407969639,0.9793168880455407,0.9922201138519924
BGC0000492,Lactococcus sp. QU 12,RiPP,0.005313092979127135,0.9984819734345352,0.9922201138519924
BGC0002111,Bacillus thuringiensis serovar andalousiensis NRRL B-23139,RiPP,0.9901328273244783,0.9717267552182163,0.9922201138519924
BGC0002861,Dendrosporobacter quercicolus DSM 1736,PKS,0.17988614800759012,0.9988614800759014,0.9916508538899431
BGC0000914,Streptomyces coelicolor A3(2),other,0.9937381404174572,0.3381404174573055,0.99146110056926
BGC0001013,Streptomyces sp.,hybrid,0.7041745730550285,0.9973434535104364,0.9912713472485768
BGC0000182,Pseudomonas fluorescens,PKS,0.9944971537001898,0.5497153700189754,0.9901328273244782
BGC0000493,Leuconostoc mesenteroides,RiPP,0.0056925996204933585,0.9977229601518026,0.9901328273244782
BGC0000482,uncultured Prochloron sp.,RiPP,0.006641366223908918,0.9977229601518026,0.9889943074003795
BGC0002490,Yersinia pestis CO92,other,0.9941176470588236,0.8751423149905123,0.9889943074003795
BGC0002929,Dictyostelium discoideum AX4,PKS,0.5914611005692599,0.9962049335863378,0.9886148007590133
BGC0002089,Streptomyces scabiei 87.22,NRPS,0.993168880455408,0.8184060721062618,0.9876660341555977
BGC0001115,Pseudoalteromonas sp. SANK 73390,hybrid,0.9916508538899431,0.4960151802656546,0.9874762808349146
BGC0001194,Streptomyces scabrisporus,PKS,0.9927893738140418,0.14990512333965844,0.9872865275142315
BGC0002576,Thermoactinomyces sp.,RiPP,0.1411764705882353,0.994876660341556,0.9867172675521823
BGC0000194,Streptomyces coelicolor A3(2),PKS,0.9920303605313092,0.07685009487666034,0.9867172675521821
BGC0000350,uncultured organism,NRPS,0.9815939278937382,0.9759013282732447,0.9861480075901328
BGC0000562,Kocuria varians,RiPP,0.49316888045540797,0.9954459203036053,0.9857685009487667
BGC0002846,Orpheovirus  IHUMI-LCC2,terpene,0.19468690702087288,0.9944971537001898,0.9844402277039848
BGC0002249,Arthrinium phaeospermum,PKS,0.011764705882352941,0.9967741935483871,0.9844402277039848
BGC0000621,Escherichia coli,RiPP,0.01669829222011385,0.9971537001897532,0.9844402277039848
BGC0001792,Streptomyces albidoflavus,NRPS,0.9880455407969639,0.39810246679316885,0.9833017077798862
BGC0000476,uncultured Prochloron sp.,RiPP,0.0036053130929791267,0.9950664136622391,0.9829222011385199
BGC0001050,Tistrella bauzanensis,hybrid,0.4922201138519924,0.993168880455408,0.9827324478178368
BGC0001470,Brevibacillus sp. Leaf182,PKS,0.9848197343453511,0.7586337760910815,0.9827324478178368
BGC0001641,Photorhabdus laumondii subsp. laumondii TTO1,NRPS,0.8275142314990512,0.989753320683112,0.9819734345351043
BGC0000985,Tistrella mobilis KA081020-065,hybrid,0.8225806451612904,0.9893738140417457,0.9817836812144213
BGC0002309,Streptomyces cattleya NRRL 8057 = DSM 46488,terpene,0.15426944971537002,0.9935483870967742,0.9814041745730551
BGC0001324,Solanum pimpinellifolium,terpene,0.9842504743833017,0.9026565464895635,0.9814041745730551
BGC0000663,Streptomyces coelicolor A3(2),terpene,0.9893738140417457,0.4622390891840607,0.9812144212523719
BGC0001597,Actinomadura fulva subsp. indica,PKS,0.9918406072106262,0.2703984819734345,0.9810246679316889
BGC0001322,Solanum lycopersicum,terpene,0.9834914611005692,0.8922201138519924,0.9810246679316887
BGC0001884,Fischerella sp. PCC 9339,hybrid,0.9865275142314991,0.7064516129032259,0.9810246679316887
BGC0001457,Streptomyces caniferus,NRPS,0.49677419354838703,0.9863377609108159,0.9808349146110057
BGC0001321,Solanum habrochaites,terpene,0.967931688804554,0.9736242884250474,0.9796963946869071
BGC0000478,uncultured Prochloron sp.,RiPP,0.11878557874762807,0.9950664136622391,0.9796963946869071
BGC0001644,Gynuella sunshinyii YC6258,PKS,0.9844402277039848,0.552561669829222,0.9785578747628083
BGC0001845,Streptomyces sp. CBMAI 2042,hybrid,0.9905123339658444,0.2981024667931689,0.977988614800759
BGC0000186,Burkholderia thailandensis E264,hybrid,0.9635673624288426,0.7428842504743833,0.977988614800759
BGC0001313,Arabidopsis thaliana,terpene,0.9870967741935484,0.8347248576850095,0.9777988614800759
BGC0002813,Acanthopleuribacter pedis KCTC 12899,hybrid,0.9888045540796964,0.5351043643263758,0.9777988614800759
BGC0002751,Amycolatopsis xylanica,RiPP,0.1963946869070209,0.9916508538899431,0.9772296015180266
BGC0000174,Candidatus Endobugula sertula,PKS,0.9764705882352942,0.893358633776091,0.9770398481973435
BGC0001799,Papaver somniferum,other,0.22277039848197344,0.9939278937381404,0.9766603415559771
BGC0000096,Streptomyces mycarofaciens,PKS,0.8290322580645162,0.9838709677419355,0.9760910815939279
BGC0000901,Aspergillus niger,other,0.4,0.9908918406072106,0.9759013282732448
BGC0002142,Amycolatopsis sp. CA-230715,PKS,0.9867172675521821,0.15521821631878557,0.9757115749525617
BGC0001601,Lactobacillus gasseri,RiPP,0.5685009487666034,0.9876660341555977,0.9747628083491461
BGC0001772,Anabaena sp. UHCC 0451,PKS,0.9795066413662239,0.3390891840607211,0.9743833017077799
BGC0002135,Xenorhabdus bovienii SS-2004,NRPS,0.32941176470588235,0.9878557874762808,0.9740037950664137
BGC0001248,Hypholoma sublateritium,terpene,0.18899430740037948,0.9929791271347248,0.9734345351043643
BGC0002622,Oryza sativa Japonica Group,other,0.0808349146110057,0.9907020872865275,0.9722960151802656
BGC0000948,Bacteroides fragilis NCTC 9343,other,0.9681214421252371,0.9311195445920304,0.9717267552182163
BGC0000683,Streptomyces avermitilis MA-4680 = NBRC 14893,terpene,0.18273244781783682,0.9870967741935484,0.9715370018975332
BGC0002337,Streptomyces sp. NRRL S-1022,RiPP,0.33187855787476284,0.9855787476280835,0.971157495256167
BGC0002153,Candidatus Thermopylae lasonolidus,PKS,0.876280834914611,0.9242884250474384,0.9709677419354839
BGC0002572,Nostoc sp. UHCC 0702,hybrid,0.8922201138519924,0.5540796963946869,0.9707779886148007
BGC0000505,Enterococcus faecalis,RiPP,0.11650853889943075,0.9859582542694497,0.9700189753320683
BGC0001656,Planktothrix paucivesiculata PCC 9631,PKS,0.9777988614800759,0.7343453510436433,0.969449715370019
BGC0000848,Streptomyces griseus subsp. griseus NBRC 13350,other,0.028273244781783682,0.9912713472485768,0.9692599620493358
BGC0000347,Streptococcus equi subsp. equi,NRPS,0.9719165085388994,0.895066413662239,0.9686907020872866
BGC0001181,Streptomyces coelicolor A3(2),terpene,0.07495256166982922,0.9844402277039849,0.9675521821631878
BGC0001111,Stigmatella aurantiaca Sg a15,hybrid,0.9853889943074003,0.6438330170777988,0.9667931688804554
BGC0000464,Xenorhabdus doucetiae,NRPS,0.8499051233396584,0.6121442125237191,0.9666034155597722
BGC0002530,Brucella abortus 2308,NRPS,0.03396584440227704,0.9827324478178368,0.966034155597723
BGC0001746,Streptomyces pristinaespiralis ATCC 25486,terpene,0.0064516129032258064,0.9836812144212523,0.966034155597723
